childreninhh,handsetrefurbished,handsetwebcapable,truckowner,rvowner,homeownership,buysviamailorder,respondstomailoffers,optoutmailings,nonustravel,ownscomputer,hascreditcard,newcellphoneuser,notnewcellphoneuser,ownsmotorcycle,madecalltoretentionteam,creditrating,prizmcode,occupation,maritalstatus,service_city,monthlyrevenue,monthlyminutes,totalrecurringcharge,directorassistedcalls,overageminutes,roamingcalls,percchangeminutes,percchangerevenues,droppedcalls,blockedcalls,unansweredcalls,customercarecalls,threewaycalls,receivedcalls,outboundcalls,inboundcalls,peakcallsinout,offpeakcallsinout,droppedblockedcalls,callforwardingcalls,callwaitingcalls,monthsinservice,uniquesubs,activesubs,handsets,handsetmodels,currentequipmentdays,agehh1,retentioncalls,retentionoffersaccepted,referralsmadebysubscriber,adjustmentstocreditrating,revenue_per_minute,total_calls,avg_call_duration,service_tenure,customer_support_interaction,handsetprice,incomegroup,customerid
0.0054149195,-0.030135471,-0.01329553,0.0011312165,-0.0004632203,-0.00045550097,-0.008892882,-0.02449155,-0.00016060144,0.00023393596,-0.0024483064,0.00089181866,0.0014644088,-0.0022554556,-0.0003016587,-0.016193869,0.006535988,-0.005827618,0.082207486,0.001246598,-0.22165418,0.084716275,-0.014965958,0.0067353197,0.0062532756,-0.06589877,-0.009442455,0.26868975,-0.023901254,-0.082547545,-0.048808537,-0.00030206316,0.022018034,-0.0015069842,0.0053459224,-0.006875041,0.035162233,-0.025382437,0.002879008,-0.09900146,0.0002762629,0.010735327,0.048277617,0.074952826,-0.14360538,-0.018014856,0.0018544178,0.17214297,-0.08755486,-0.0036672233,-8.248261e-05,0.00038042048,0.002502318,-0.28438416,0.026181303,-0.043744475,0.011852204,0.0027235295,-0.012304352,-0.001228905,3243582.0
-0.020145917,-0.02413281,-0.007350246,-0.00076084706,0.0019809757,0.0006900941,-0.0019863257,0.007458805,-0.000186135,0.00054625527,-0.0027688178,-0.0007187264,0.0039524203,-0.0074829445,-0.0008676536,-0.015817393,0.037772387,-0.026202861,-0.008766963,0.02147572,-0.12774763,0.010903844,-0.10607253,-0.030997936,-0.0034380497,-0.015166702,0.005665761,0.2558745,-0.0114239,0.036531914,0.0336147,0.004396219,-0.00018766915,0.010443968,0.06129859,-0.04818481,-0.12096427,0.013799392,-0.025771573,0.030798761,0.00019934183,-0.036710918,-0.22068888,-0.065910414,0.0075564478,0.036168005,-0.0034579542,0.19768146,0.07421493,-0.003428975,0.0006951587,0.00057120505,0.0031207365,-0.19594902,-0.087946214,0.00676838,-0.05254483,-0.003987956,-0.020050192,0.0059561604,3026654.0
-0.0105496105,-0.022871165,-0.019174958,-0.0002784094,0.00030972215,-0.00065987895,0.016380569,0.029827474,-0.00054969854,0.00066565926,-0.001841907,-0.0026785021,-0.019453121,0.0010930795,-0.00030371896,-0.015135883,0.112372115,-0.020409124,-0.0035979724,0.013939901,-0.14644283,0.118424825,0.1341903,0.04161425,0.0058089173,-0.060891487,-0.012435336,-0.13501999,-0.000109647866,-0.042362574,-0.029236576,-0.0032590488,0.010518328,0.0069673248,-0.037649777,0.008704379,0.0020781714,-0.010700825,-0.03782617,-0.07015269,0.00019514635,0.018452749,-0.13131188,0.11013005,-0.090075195,0.082649074,-0.0020339862,0.18394057,0.11780808,-0.0039024998,-9.279335e-05,0.00064200826,0.0020249947,0.12780245,0.010134995,0.14062114,-0.009490074,0.00041345885,0.010376225,0.011958626,3123622.0
-0.02886093,-0.031345952,-0.015693694,0.0015225608,-0.0014806251,-0.00040781064,-0.024224577,-0.03697892,-0.0005582976,0.0002500757,0.010578791,0.00051866047,0.0016239827,-0.0029769721,-0.0006302813,-0.016804455,0.046129063,-0.012590834,-0.0076770554,0.013846686,-0.20401789,-0.005693014,-0.011041344,-0.034835912,0.005381534,-0.08690451,0.024998419,-0.19333203,-0.041405804,-0.11051531,0.029879874,0.012991711,0.013859984,0.007149508,0.0041492176,-0.016141409,-0.004709201,-0.021331728,0.02296924,-0.06305482,0.00019289444,-0.0005248288,-0.028741976,-0.06586986,0.021755878,-0.017519163,0.0007793526,0.18322673,-0.112763174,-0.0035538867,0.00014170501,0.000497877,0.0015218214,-0.12641832,0.029333048,-0.03845207,-0.0020814636,0.0034025796,-0.015609078,-0.017656997,3114734.0
-0.023034053,-0.020641416,-0.019390048,-0.00037203485,0.00042471132,0.0006328218,0.00781879,0.029334327,-0.0005582976,0.0007512067,-0.0022470085,-0.0008000394,0.0016894739,0.0009961135,-0.0007631658,-0.022255212,0.072389424,-0.02409766,-0.004524873,0.023984209,-0.11874008,-0.008118243,-0.011505214,-0.0031314527,0.008845266,-0.031111993,-0.011979557,-0.08501036,-0.022934627,0.017339678,0.035908762,0.012810059,-0.017935727,0.0056282463,0.008405233,0.029251104,-0.05072845,-0.0003114712,0.000685661,-0.04933296,0.0002886101,0.012473566,0.14109781,-0.073047124,0.014275797,-0.015256501,0.00083244714,0.13666116,0.14398713,-0.0034935658,0.0007355525,0.0014656706,0.0031899828,-0.099060096,-0.028297765,-0.010413316,0.045198884,-0.0022987784,-0.0126677565,0.017409747,3266698.0
-0.021760387,-0.057971176,-0.015798453,-0.00019981795,0.0020240147,-0.0014915036,0.008519939,0.020574316,-0.00018511289,9.8829274e-05,-0.0014747632,0.0014235645,0.004168071,-0.00660108,-0.00035748538,-0.014146443,0.09363381,-0.02189906,-0.0051810355,0.017913312,-0.023536239,0.118649475,0.050377008,0.101974525,0.007523647,-0.09002983,-0.002205986,-0.11334783,0.0030202325,-0.04924479,0.026149195,0.0015321794,0.011555493,0.00065896794,0.0043526255,-0.005171279,-0.11751117,0.015999978,-0.018245589,-0.0974595,0.00019354057,0.015610014,-0.2719311,0.10823375,-0.0039365795,0.058798485,-0.0048241946,-0.29582062,-0.08381111,-0.0057072747,0.00014391742,0.00067363004,0.0023118039,-0.104642645,-0.0144562535,0.09876439,-0.03371234,0.0017892628,-0.032817412,-0.008005564,3043134.0
0.065663666,-0.03843689,-0.015333978,0.0024304236,0.0002631917,-0.0004297198,-0.009340322,-0.029804379,-0.0005708551,0.00012857108,-0.0018271504,0.00023962607,0.005182736,-0.00030877598,-0.0009495071,-0.015087807,0.10751423,-0.04920005,0.022698933,0.019885,-0.048434693,0.009848103,-0.025861243,-0.03420756,0.0031002648,-0.07452154,-0.005953353,-0.17094155,-0.026078451,0.026863145,0.050398454,-0.0026032135,-0.008034105,0.004768164,0.0736092,-0.030353252,-0.04615846,-0.012513422,-0.023785895,0.13108774,0.0002757069,-0.019064689,0.32726792,0.07099618,-0.0049071684,0.030790305,-0.016000763,-0.1417808,-0.058557734,-0.0055344226,0.0006791953,-0.21032575,0.003658889,-0.08239128,-0.07362222,0.070211254,0.10164294,-0.009077471,0.03544456,-0.0010418965,3194578.0
0.010026651,-0.020649597,-0.017510459,0.0024304236,-0.0029185521,-0.001351516,-0.06155799,-0.038185865,-0.0007081294,0.0001316762,-0.0070850262,-0.00063199626,0.004280077,-0.0071738926,-0.0009798954,-0.014968293,0.096686326,-0.03648131,0.019277545,0.027893009,-0.0069059273,-0.0506057,-0.024505533,-0.12671745,-0.018968577,0.05340474,-0.01229698,-0.02110052,0.11170824,0.12334836,0.13212039,-0.013254132,-0.0378279,-0.019108782,0.06623733,0.028280307,0.012343136,-0.008542613,0.07546564,0.1563711,0.00030415846,-0.029188348,-0.18113837,0.28819683,-0.0049216673,-0.010780193,0.0004198738,-0.5684752,-0.088399254,-0.0032129667,0.00059528893,0.00041452574,0.0044606472,-0.111668095,-0.029916238,0.053990968,-0.055540245,0.06473087,0.04815147,-0.00037296145,3349970.0
-0.027816627,-0.028690156,-0.008813855,-0.00081809895,0.0021466047,0.0006478996,0.007043303,0.01692455,-0.00019775896,0.0007326337,-0.0038945728,-0.00027036434,0.0013430283,0.001113408,-0.00063025363,-0.01669756,0.0978655,-0.015058475,-0.0060871616,0.023280326,-0.013337766,-0.044172797,-0.04454476,0.019384472,0.0069237226,0.17381218,-0.0012785757,0.5225813,0.046694305,0.030209236,-0.0009980538,0.012262054,0.039731387,0.012353909,0.004017936,0.054256994,-0.045161612,-0.0024412246,-0.01718837,-0.035654962,0.00029170502,-0.011181683,0.28443924,0.09611468,0.034480214,-0.017097471,0.001526203,0.18027106,0.085239455,-0.0058507724,0.0008047857,-0.00018879698,0.0024470305,0.11678758,-0.033714473,-0.021678725,0.100634314,0.029900685,-0.01986972,0.015713388,3218922.0
0.05346329,-0.047872372,-0.017149724,-0.0003745877,0.0020658078,-0.00073140196,0.0056396453,0.024251565,-0.0006770112,-0.00044085213,-0.004151116,0.00022841443,-0.0056061754,0.0035624672,-0.000100909514,-0.014899757,0.050850607,0.1823223,-0.008294529,0.014430496,0.07446885,-0.036104277,-0.08637844,-0.19805263,0.0022367681,-0.048564587,-0.059842024,-0.14416076,-0.028723968,0.013212769,0.16874479,0.011852179,0.05042097,0.0077291196,0.07345048,-0.012045519,-0.10100221,-0.03287188,0.008788698,0.13364673,0.00019138189,-0.024298884,-0.30230275,0.033802018,-0.00010682363,0.040373728,-0.00076055527,-0.3704317,-0.061545778,-0.0044871215,0.00035432342,0.0007281065,0.003492751,-0.064324334,-0.05606179,-0.012750192,-0.080627225,0.004345582,0.016697885,-0.038360428,3026750.0
